feature_set,removed_feature_group,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
Without funding scale,funding scale,0.5430515289306641,0.03013666467643631,0.044190406799316406,0.010193361523111441,0.7,0.01,5,1,300,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 300, 'model__subsample': 0.7}",0.7412322274881517,0.7270992366412213,0.7358309317963496,0.7305502846299811,0.7361502347417841,0.7341725830594975,0.004891892918572832,123,0.7609108159392789,0.7649325626204239,0.7609685926636298,0.7618593563766388,0.7632325141776938,0.762380768355533,0.001527350363111627
Without funding scale,funding scale,0.5452720165252686,0.029092425479111516,0.027529191970825196,0.00786862549691363,0.7,0.01,5,1,300,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.7343453510436433,0.7218045112781954,0.7333974975938402,0.7432306255835668,0.7371375116931712,0.7339830994384833,0.006989409442868856,129,0.762514827995255,0.7734225621414914,0.7636013480982186,0.7632827324478179,0.7674964772193518,0.7660635895804269,0.004064410226277991
Without funding scale,funding scale,0.9868127346038819,0.057095618829573286,0.05422048568725586,0.009670468416492335,0.7,0.01,5,1,500,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 500, 'model__subsample': 0.7}",0.7402473834443387,0.725883476599809,0.7360308285163777,0.7388414055080722,0.7357414448669202,0.7353489077871036,0.005028043215744064,84,0.7665156212735511,0.7722342733188721,0.7669973384950399,0.768237263812485,0.7661406025824964,0.7680250198964889,0.002220283933770956
Without funding scale,funding scale,0.9458558559417725,0.06724119049739495,0.038636398315429685,0.010238446473612703,0.7,0.01,5,1,500,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.7350427350427351,0.7257304429783223,0.7308066083576288,0.7387218045112782,0.7353497164461248,0.7331302614672179,0.004472260427039758,151,0.766301761066159,0.778124250419765,0.7684466019417475,0.7662926712819289,0.772469252601703,0.7703269074622607,0.004503345729846958
Without funding scale,funding scale,0.29634652137756345,0.0688876803672059,0.019359254837036134,0.0037042490768322838,0.7,0.01,5,3,100,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 3, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.7445652173913043,0.7477638640429338,0.7538601271571299,0.7450628366247756,0.737511353315168,0.7457526797062624,0.005283577907360122,9,0.7552447552447552,0.7612346799818429,0.7514162701110356,0.7579185520361991,0.7571979143051463,0.7566024343357959,0.0032336992377450927
Without funding scale,funding scale,0.22021908760070802,0.02493660385205788,0.028689813613891602,0.006095568854329048,0.7,0.01,5,3,100,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.7416974169741697,0.7461883408071749,0.7456382001836547,0.7493261455525606,0.7405405405405405,0.7446781288116201,0.003187814821907741,12,0.7545871559633027,0.7616875712656784,0.7529898804047838,0.7564392227745143,0.7617759747577192,0.7574959610331996,0.003626864186453881
Without funding scale,funding scale,0.6716813087463379,0.07135993462129081,0.07114992141723633,0.05371873545422979,0.7,0.01,5,3,300,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 3, 'model__n_estimators': 300, 'model__subsample': 0.7}",0.7443181818181818,0.7276154571159283,0.7396733909702209,0.7323135755258127,0.7376283846872083,0.7363097980234704,0.0058094405474530455,59,0.7580340264650284,0.7668958975575053,0.7570540411286466,0.7555449558788457,0.7607361963190185,0.759653023469809,0.003997113166138095
Without funding scale,funding scale,0.6087101459503174,0.040797043709424684,0.03405122756958008,0.004566358203363726,0.7,0.01,5,3,300,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.7367424242424242,0.7206020696142992,0.7398843930635838,0.7434456928838952,0.7388059701492538,0.7358961099906912,0.007949764886091474,70,0.7580835496813784,0.7690844233055886,0.7598086124401914,0.7573459715639811,0.7647196809758386,0.7618084475933957,0.00445427883679308
Without funding scale,funding scale,0.8277973651885986,0.08391225056486097,0.03933396339416504,0.006954798343494675,0.7,0.01,5,3,500,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 3, 'model__n_estimators': 500, 'model__subsample': 0.7}",0.7354345749761223,0.7253787878787878,0.7379576107899807,0.7335243553008596,0.7308781869688386,0.7326347031829178,0.004305758108712075,163,0.7607244995233555,0.7711359847582758,0.7611218568665378,0.7620416966211359,0.7646498332539304,0.7639347742046472,0.0038515153666894885
Without funding scale,funding scale,0.7536275863647461,0.04556059130448476,0.04120163917541504,0.011992043703713519,0.7,0.01,5,3,500,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 3, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.7330143540669857,0.7231208372978116,0.7383720930232558,0.7403210576015109,0.7329545454545454,0.733556577488822,0.0059750900110557194,141,0.760797342192691,0.7714148219441771,0.7636099685458505,0.7611976047904192,0.7662889518413598,0.7646617378628995,0.003906199187869587
