mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__depth,param_model__iterations,param_model__l2_leaf_reg,param_model__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.4990056514739991,0.14101945460505283,0.06640138626098632,0.029444495401442783,4,200,7,0.05,"{'model__depth': 4, 'model__iterations': 200, 'model__l2_leaf_reg': 7, 'model__learning_rate': 0.05}",0.7689463955637708,0.7342723004694836,0.7549295774647887,0.7637721755368814,0.7569573283858998,0.7557755554841649,0.011848368688532783,29,0.7748206433695903,0.7787363021683376,0.7713950762016413,0.7726956117947528,0.7685054219707685,0.773230611101018,0.0034299755592431115
1.688558530807495,0.271093927959884,0.17663178443908692,0.05525632854205425,4,200,7,0.1,"{'model__depth': 4, 'model__iterations': 200, 'model__l2_leaf_reg': 7, 'model__learning_rate': 0.1}",0.7639405204460966,0.7335834896810507,0.765639589169001,0.7611940298507462,0.7527881040892194,0.7554291466472228,0.011782515290563452,35,0.7915309446254072,0.7933302019727572,0.7897460018814676,0.7922772737846011,0.7889045604137283,0.7911577965355923,0.0016237026425852939
5.679277324676514,0.34836828488250976,0.06910166740417481,0.029604443171081362,4,500,1,0.01,"{'model__depth': 4, 'model__iterations': 500, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.01}",0.7551020408163265,0.7327102803738318,0.7551789077212806,0.766076421248835,0.7518382352941176,0.7521811770908784,0.01086120685822878,72,0.7656719870460329,0.7691948658109685,0.7624205321403343,0.767097966728281,0.7630409356725146,0.7654852574796264,0.0025204818398730957
4.137795448303223,0.686475575840715,0.06005659103393555,0.01412974068862177,4,500,1,0.05,"{'model__depth': 4, 'model__iterations': 500, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.05}",0.7640036730945822,0.7385192127460168,0.7579737335834896,0.7560975609756098,0.7488415199258572,0.7530871400651111,0.008744849002664487,59,0.8122087604846225,0.8142050799623707,0.8069597930872325,0.8102923976608187,0.8096135721017907,0.8106559206593669,0.0024449066156581383
3.2438650608062742,0.15698377698763002,0.1026010513305664,0.058394806572219286,4,500,1,0.1,"{'model__depth': 4, 'model__iterations': 500, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.1}",0.7617295308187673,0.7380073800738007,0.7511825922421949,0.7640449438202247,0.7445805843543827,0.7519090062618741,0.009911733840734831,73,0.8530650444548432,0.8569418386491557,0.8584237848041529,0.8500707213578501,0.8530109056424846,0.8543024589816973,0.0030019513527110146
4.296308708190918,0.45619070077495716,0.07640128135681153,0.026006663338424302,4,500,3,0.01,"{'model__depth': 4, 'model__iterations': 500, 'model__l2_leaf_reg': 3, 'model__learning_rate': 0.01}",0.7548928238583411,0.7328959700093721,0.7593984962406015,0.7667910447761194,0.7545787545787546,0.7537114178926376,0.011303542481105685,53,0.7636700648748842,0.768187134502924,0.7606696533836359,0.7673072470479277,0.7625730994152047,0.7644814398449153,0.0028477067198377374
4.026047563552856,0.399586483170964,0.07010064125061036,0.0207687145189644,4,500,3,0.05,"{'model__depth': 4, 'model__iterations': 500, 'model__l2_leaf_reg': 3, 'model__learning_rate': 0.05}",0.7608494921514312,0.7376283846872083,0.7586854460093897,0.7565543071161048,0.7490706319702602,0.7525576523868789,0.008453638930307853,68,0.803072625698324,0.8074213245655237,0.8040461067984004,0.8014035087719298,0.8027403732577368,0.803736787818383,0.0020272954239299182
3.161777877807617,0.08198365532897495,0.0606137752532959,0.022905256169283954,4,500,3,0.1,"{'model__depth': 4, 'model__iterations': 500, 'model__l2_leaf_reg': 3, 'model__learning_rate': 0.1}",0.7593778591033852,0.7375231053604436,0.7509433962264151,0.7579143389199255,0.7483629560336763,0.7508243311287692,0.007828489025187235,84,0.847267631947688,0.8459726801695714,0.839622641509434,0.8412623645784267,0.8403600189483657,0.8428970674306973,0.0031110114576280864
3.2700083255767822,0.2058190407506532,0.05082945823669434,0.011347593550081305,4,500,5,0.01,"{'model__depth': 4, 'model__iterations': 500, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.01}",0.7532467532467533,0.7291471415182755,0.7563499529633114,0.7642124883504194,0.7493112947658402,0.75045352616892,0.011723017753303026,85,0.7638632162661737,0.7683668694431446,0.7612538298373792,0.764964178414606,0.7599624941397093,0.7636821176202024,0.00294467508005632
3.0830347537994385,0.10238859124769936,0.05100383758544922,0.015420636667188415,4,500,5,0.05,"{'model__depth': 4, 'model__iterations': 500, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.05}",0.7597042513863216,0.7418452935694315,0.7586854460093897,0.7579143389199255,0.7518382352941176,0.7539975130358372,0.006666693655737439,49,0.8023201856148492,0.8014084507042254,0.792515395547134,0.7967289719626168,0.8005664385178192,0.7987078884693289,0.003634804381718433
2.731865739822388,0.13092590006472735,0.040726661682128906,0.018213211893873427,4,500,5,0.1,"{'model__depth': 4, 'model__iterations': 500, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.1}",0.7713498622589532,0.7323420074349443,0.7483506126295947,0.758109360518999,0.7441424554826617,0.7508588596650305,0.013166063608991934,82,0.8362873134328358,0.8396803008932769,0.8348235294117647,0.8381625441696113,0.832312764955252,0.836253290572548,0.002567596763853494
2.7391481399536133,0.14676689666987022,0.06594352722167969,0.016721608321939273,4,500,7,0.01,"{'model__depth': 4, 'model__iterations': 500, 'model__l2_leaf_reg': 7, 'model__learning_rate': 0.01}",0.7565055762081785,0.7343895619757689,0.7598499061913696,0.7675070028011205,0.751147842056933,0.753879977846674,0.011095679313140379,50,0.7660359944623903,0.7680074836295603,0.7601510859301227,0.7636026858068997,0.7609459143057832,0.7637486328269512,0.002972833958585759
