mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.630262517929077,0.34445105689175404,0.10794129371643066,0.0530122258282356,0.7,0.01,5,3,500,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 3, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.7583025830258303,0.738404452690167,0.7545023696682465,0.7611111111111111,0.7550644567219152,0.7534769946434541,0.007903404180522423,136,0.7933088909257562,0.7979420018709074,0.7884932798868192,0.7896935933147632,0.7865380089432807,0.7911951549883053,0.004030673598264132
0.5043307304382324,0.033441767032234976,0.04770183563232422,0.0370633722442819,0.7,0.01,5,5,100,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.7566137566137566,0.7526501766784452,0.7795698924731183,0.7641255605381166,0.7613132209405501,0.7628545214487975,0.009235481297934622,7,0.782532367785824,0.7845774490024658,0.7808127914723517,0.779012894619831,0.7747424988804299,0.7803356003521804,0.0033490032255076587
0.5383506774902344,0.07801392654712004,0.053753995895385744,0.016294054697780516,0.7,0.01,5,5,100,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.7595385980479148,0.7462154942119323,0.7677130044843049,0.7654986522911051,0.760035682426405,0.7598002862923324,0.007480012729754472,20,0.7832783278327833,0.7841191066997518,0.7801292047226553,0.7815370826798118,0.7764919446335375,0.781111133313708,0.0026917338894505765
1.265848207473755,0.12139462344426317,0.05744218826293945,0.021484096697316594,0.7,0.01,5,5,300,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 300, 'model__subsample': 0.7}",0.7577981651376147,0.7374301675977654,0.7630597014925373,0.7615526802218114,0.7579908675799086,0.7555663164059275,0.009292651532695487,76,0.7848043676069154,0.7821020741085994,0.7749648382559775,0.7789813321041714,0.7807486631016043,0.7803202550354537,0.003284475048829523
1.3026383876800538,0.17179978325813244,0.05115523338317871,0.013370842593414162,0.7,0.01,5,5,300,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.7564102564102564,0.7467652495378928,0.7584269662921348,0.7615526802218114,0.7571035747021082,0.7560517454328407,0.004967410565323422,66,0.785827844651374,0.7907735321528425,0.7775428705661264,0.7831685444929869,0.7797243634664798,0.7834074310659619,0.004650440210129043
2.0370574474334715,0.07329734029407788,0.05992236137390137,0.015416697846064913,0.7,0.01,5,5,500,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 500, 'model__subsample': 0.7}",0.7580496780128795,0.7377201112140871,0.761012183692596,0.7578558225508318,0.7676767676767676,0.7564629126294325,0.010021946313517077,54,0.788294467306813,0.7931918862205642,0.7813233223838574,0.7833140208574739,0.7873429502093997,0.7866933293956216,0.004134575966692384
1.3746943950653077,0.18147404431766198,0.05435290336608887,0.007534372899111215,0.7,0.01,5,5,500,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.7534372135655362,0.7407407407407407,0.7575757575757576,0.7634011090573013,0.759447004608295,0.7549203651095261,0.007781080618417357,93,0.79168570123344,0.7927000467945718,0.7820754716981132,0.7860950173812282,0.7856135401974612,0.7876339554609628,0.003985701323415118
0.6119283199310303,0.06031910707242163,0.024210166931152344,0.0028685990256315666,0.7,0.01,7,1,100,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.768695652173913,0.7537511032656664,0.7778753292361721,0.7667560321715817,0.7695035460992907,0.7673163325893247,0.007778280257284418,1,0.801308615049073,0.8078817733990148,0.8007950530035336,0.7997335701598579,0.8012505582849486,0.8021939139792856,0.0028995007390843516
0.6639220237731933,0.07699675180050464,0.03371620178222656,0.01435681639477173,0.7,0.01,7,1,100,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.7673397717295873,0.7526501766784452,0.7780725022104332,0.7656529516994633,0.7630878438331854,0.765360649230223,0.008152488327545065,3,0.8078018847249616,0.8182841702319298,0.8056850988230069,0.8057683641279856,0.8047736996172034,0.8084626435050175,0.005009614600792753
1.5963331699371337,0.14917182963888154,0.04721508026123047,0.013232353177753647,0.7,0.01,7,1,300,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_child_weight': 1, 'model__n_estimators': 300, 'model__subsample': 0.7}",0.7634703196347032,0.7346189164370982,0.7676579925650557,0.7586837294332724,0.7577981651376147,0.7564458246415489,0.01147438193449566,55,0.8132019252807701,0.8219114219114219,0.8112941176470588,0.8133549733364248,0.8119738072965388,0.8143472490944429,0.0038592207976814097
